1,1,52.62,57.53,122.41,66.5,1,1,1.0
1,2,0.0,14.16,17.69,29.069999999999997,1,1,1.0
2,1,36.95,55.31,117.46999999999998,62.09,1,1,1.0
2,2,0.0,14.16,10.4,26.139999999999997,1,1,1.0
2,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
2,4,315.52,0.0,393.68000000000006,109.41,1,1,1.0
3,1,21.27,53.1,112.55,57.669999999999995,1,1,1.0
3,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
3,4,315.52,0.0,393.12,109.41,1,1,1.0
4,1,5.6,50.89,107.61,53.25,1,1,1.0
4,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
4,4,315.52,0.0,392.55000000000007,109.41,1,1,1.0
5,1,0.43,48.68,92.16999999999999,48.82,1,1,1.0
5,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
5,4,315.52,0.0,391.99,109.41,1,1,1.0
6,1,0.3,47.7,74.2,44.39999999999999,1,1,1.0
6,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
6,4,315.52,0.0,391.43000000000006,109.41,1,1,1.0
7,1,0.3,43.76,56.0,45.839999999999996,1,1,1.0
7,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
7,4,315.52,0.0,390.86,109.41,1,1,1.0
8,1,0.3,43.76,42.7,45.839999999999996,1,1,1.0
8,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
8,4,315.52,0.0,390.30000000000007,109.41,1,1,1.0
9,1,0.3,43.76,26.5,44.839999999999996,1,1,1.0
9,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
9,4,315.52,0.0,389.73,109.41,1,1,1.0
10,1,0.3,48.2,14.2,27.599999999999994,1,1,1.0
10,5,914.89,182.14,45.110000000000014,81.93,1,1,1.0
10,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
10,4,315.52,0.0,389.1700000000001,109.41,1,1,1.0
11,5,870.9,173.43,89.10000000000002,86.17000000000002,1,1,1.0
11,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
11,4,315.52,0.0,388.61,109.41,1,1,1.0
12,5,826.91,164.73,133.09000000000003,90.4,1,1,1.0
12,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
12,4,315.52,0.0,388.03999999999996,109.41,1,1,1.0
13,5,781.54,161.7,178.46000000000004,95.40000000000003,1,1,1.0
13,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
13,4,315.52,0.0,387.48,109.41,1,1,1.0
14,5,737.7,150.73,222.29999999999995,118.37000000000003,1,1,1.0
14,6,0.0,178.12,17.83,43.359999999999985,1,1,1.0
14,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
14,4,315.52,0.0,387.48,109.17,1,1,1.0
15,5,699.5,141.76,260.5,115.04000000000002,1,1,1.0
15,6,0.0,175.46,33.2,60.16,1,1,1.0
15,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
15,4,315.52,0.0,387.48,108.93,1,1,1.0
16,5,662.05,132.79,257.55000000000007,111.72,1,1,1.0
16,6,0.0,172.8,52.6,76.97,1,1,1.0
16,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
16,4,315.52,0.0,387.48,108.69,1,1,1.0
17,5,624.6,123.82,254.60000000000002,108.39000000000001,1,1,1.0
17,6,0.0,170.15,72.0,93.76000000000002,1,1,1.0
17,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
17,4,315.52,0.0,387.48,108.45,1,1,1.0
18,5,582.23,118.33,247.16999999999996,108.39999999999999,1,1,1.0
18,6,0.0,167.49,91.4,110.56,1,1,1.0
18,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
18,4,315.52,0.0,387.48,108.21,1,1,1.0
19,5,546.84,108.36,247.16999999999996,108.39999999999999,1,1,1.0
19,6,2.29,175.57,112.86,117.11000000000001,1,1,1.0
19,3,96.15,0.0,217.82000000000002,62.38,1,1,1.0
19,4,315.52,0.0,387.48,107.97,1,1,1.0
